,1111111111,1111114444,1111144447,1111223344,1111234444,1111234567,1111444477,1111556677,1114556677,1234556677,1455666777,2233445677
0,0.4,0.344,0.32,0.295,0.286,0.292,0.296,0.316,0.298,0.262,0.265,0.246
1,0.313,0.287,0.28,0.263,0.255,0.248,0.251,0.267,0.26,0.253,0.248,0.243
2,0.283,0.264,0.254,0.244,0.239,0.234,0.236,0.248,0.241,0.249,0.242,0.236
3,0.251,0.25,0.242,0.24,0.232,0.232,0.226,0.24,0.24,0.239,0.246,0.238
4,0.233,0.24,0.237,0.232,0.229,0.232,0.221,0.236,0.237,0.238,0.243,0.235
5,0.22,0.237,0.232,0.235,0.226,0.226,0.221,0.236,0.233,0.239,0.244,0.239
6,0.208,0.23,0.232,0.233,0.224,0.223,0.219,0.233,0.235,0.236,0.243,0.237
7,0.198,0.227,0.227,0.231,0.225,0.227,0.219,0.232,0.239,0.239,0.241,0.236
8,0.188,0.224,0.227,0.232,0.223,0.225,0.21,0.229,0.235,0.239,0.235,0.238
9,0.181,0.221,0.22,0.23,0.225,0.227,0.206,0.234,0.238,0.241,0.245,0.241
10,0.175,0.217,0.221,0.227,0.225,0.227,0.207,0.232,0.234,0.239,0.243,0.232
11,0.168,0.217,0.213,0.225,0.224,0.226,0.206,0.229,0.234,0.25,0.242,0.237
12,0.162,0.214,0.214,0.231,0.226,0.222,0.204,0.234,0.23,0.24,0.245,0.234
13,0.156,0.214,0.212,0.232,0.222,0.226,0.206,0.232,0.233,0.238,0.248,0.24
14,0.151,0.208,0.208,0.231,0.221,0.229,0.2,0.234,0.235,0.243,0.239,0.238
15,0.148,0.209,0.203,0.233,0.221,0.224,0.2,0.231,0.237,0.242,0.246,0.239
16,0.144,0.206,0.204,0.232,0.229,0.223,0.196,0.228,0.238,0.242,0.244,0.236
17,0.144,0.205,0.206,0.234,0.229,0.224,0.195,0.229,0.235,0.246,0.242,0.234
18,0.138,0.206,0.206,0.233,0.229,0.225,0.191,0.233,0.237,0.239,0.242,0.238
19,0.137,0.207,0.202,0.234,0.222,0.227,0.188,0.236,0.238,0.239,0.245,0.237
20,0.137,0.202,0.201,0.23,0.226,0.224,0.193,0.234,0.238,0.241,0.242,0.24
21,0.132,0.202,0.197,0.231,0.229,0.223,0.188,0.233,0.237,0.242,0.249,0.236
22,0.133,0.199,0.198,0.233,0.225,0.221,0.187,0.23,0.239,0.241,0.247,0.237
23,0.13,0.199,0.2,0.237,0.225,0.219,0.186,0.229,0.235,0.237,0.244,0.234
